Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,playerid
Kyle Schwarber,Cubs,138,585,498,126,22,2,37,86,90,75,155,5,5,2,0.253,0.354,0.528,0.881,0.362,123,0.4,1.4,18.4,-5.5,3.1,16478
Alex Verdugo,Dodgers,138,570,512,157,36,3,15,76,74,46,77,4,7,3,0.307,0.366,0.478,0.844,0.356,118,0.4,4.1,13.8,-2.8,3,17027
Rhys Hoskins,Phillies,150,656,543,131,27,3,36,93,96,99,153,9,4,2,0.242,0.365,0.499,0.864,0.362,122,0.3,2.2,19.6,-10.3,3,16472
Jorge Polanco,Twins,150,664,596,167,35,5,19,91,82,55,109,5,7,4,0.281,0.344,0.453,0.796,0.337,109,1.1,-9.2,8.6,-2,2.9,13152
Nelson Cruz,Twins,147,641,561,158,27,1,40,97,114,64,158,10,1,1,0.282,0.363,0.547,0.91,0.374,134,-3.5,0,24.6,-17.2,2.9,2434
Luis Robert,White Sox,143,578,533,145,26,5,26,77,83,29,147,8,23,9,0.273,0.317,0.488,0.805,0.335,111,0.9,0,8.8,0.8,2.9,sa3003396
Eugenio Suarez,Reds,149,647,559,141,24,2,35,87,96,73,168,9,3,2,0.253,0.345,0.492,0.838,0.349,112,-1.8,-2.3,8.8,0.1,2.9,12552
Starling Marte,Diamondbacks,149,664,607,173,33,7,24,89,85,36,123,13,26,9,0.284,0.335,0.48,0.815,0.341,109,1.6,-3.4,9.2,-0.9,2.9,9241
Christian Vazquez,Red Sox,109,432,397,104,21,1,13,50,53,27,81,3,5,2,0.262,0.311,0.418,0.729,0.308,86,-1.4,2.9,-9.3,10.7,2.8,9774
Lorenzo Cain,Brewers,146,656,580,161,30,1,16,85,65,59,113,7,19,6,0.277,0.349,0.415,0.763,0.328,100,1.5,3.4,1.3,5.8,2.8,9077
Joc Pederson,Dodgers,100,438,378,97,19,2,27,67,66,46,92,7,3,1,0.255,0.345,0.536,0.881,0.364,128,0.7,1.8,17,-3.2,2.7,11899
Eloy Jimenez,White Sox,141,590,542,151,26,2,33,80,95,37,134,5,1,1,0.279,0.329,0.52,0.848,0.351,122,0.8,-2.5,17.1,-10,2.7,17484
Austin Meadows,Rays,139,617,552,150,30,5,27,85,83,51,125,6,14,6,0.272,0.337,0.492,0.83,0.344,118,0.6,-2.3,15.1,-9.1,2.7,15672
Willy Adames,Rays,149,591,526,135,25,2,18,66,68,53,143,4,7,3,0.256,0.326,0.414,0.74,0.315,99,1.2,-1,0.2,6.4,2.7,15986
Carlos Santana,Indians,150,654,544,141,30,1,29,92,93,99,103,5,3,1,0.26,0.375,0.482,0.858,0.359,121,-0.4,0,17.2,-13.1,2.6,2396
Michael Brantley,Astros,141,621,560,162,34,2,21,85,87,49,72,6,5,2,0.289,0.349,0.466,0.815,0.344,118,0.1,-1.5,14.3,-9.1,2.6,4106
